total_loss,pred_loss,policy_loss,sigreg_loss,avg_var,learning_rate,epsilon
3.334886312484741,0.020519306883215904,5.954616069793701,33.14366912841797,"tensor(2.0709e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9860940917766235
3.1391708850860596,0.02032780461013317,2.627764940261841,31.188430786132812,"tensor(2.7462e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9856010447307353
3.0721921920776367,0.020589224994182587,7.777422904968262,30.516029357910156,"tensor(2.8613e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.98510824420837
3.295611619949341,0.021088451147079468,2.452981948852539,32.74523162841797,"tensor(6.0583e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9846156900862658
3.6439766883850098,0.02158033847808838,0.5110090374946594,36.223960876464844,"tensor(4.5644e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9841233822412228
2.8975558280944824,0.02199115976691246,4.884209632873535,28.755645751953125,"tensor(3.8373e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9836313205501022
3.2841529846191406,0.020815236493945122,5.010165691375732,32.63337707519531,"tensor(3.3306e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9831395048898272
3.1048617362976074,0.020687922835350037,0.8352930545806885,30.841739654541016,"tensor(9.7366e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9826479351373822
3.281442880630493,0.019690439105033875,2.6119132041931152,32.617523193359375,"tensor(6.3390e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9821566111698136
3.1220667362213135,0.018945250660181046,2.5852811336517334,31.03121566772461,"tensor(6.3808e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9816655328642288
3.112767219543457,0.017696546390652657,7.18074369430542,30.95070457458496,"tensor(4.9275e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9811747000977967
3.178333044052124,0.01774747110903263,0.09943578392267227,31.60585594177246,"tensor(5.0958e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9806841127477479
3.2898614406585693,0.017033560201525688,4.70416784286499,32.72827911376953,"tensor(5.0833e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9801937706913741
3.3219470977783203,0.017679281532764435,2.3296778202056885,33.04267883300781,"tensor(7.2948e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000996005996001,0.9797036738060285
3.172672748565674,0.016963941976428032,2.5519421100616455,31.557086944580078,"tensor(4.9731e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.9792138219691255
3.2678637504577637,0.01734892651438713,0.026754718273878098,32.50514602661133,"tensor(6.0209e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.978724215058141
3.0066025257110596,0.01685098186135292,0.04484621807932854,29.89751434326172,"tensor(3.6617e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.978234852950612
2.9682974815368652,0.016634441912174225,2.414705991744995,29.516630172729492,"tensor(4.6702e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.9777457355241367
3.14276385307312,0.016227304935455322,2.594583034515381,31.265365600585938,"tensor(6.2893e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.9772568626563747
3.2259771823883057,0.015575884841382504,0.06463847309350967,32.10401153564453,"tensor(6.6320e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.9767682342250465
3.2182295322418213,0.015378469601273537,0.06509508937597275,32.02851104736328,"tensor(8.4318e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.976279850107934
3.151163101196289,0.015195983462035656,0.03548302501440048,31.359670639038086,"tensor(2.8117e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.9757917101828801
3.2973415851593018,0.015159592032432556,5.291619777679443,32.82181930541992,"tensor(6.2001e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.9753038143277888
3.249645948410034,0.014771252870559692,5.555771827697754,32.34874725341797,"tensor(2.9139e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000995009990004999,0.974816162420625
2.9406981468200684,0.015336144715547562,0.36635011434555054,29.253620147705078,"tensor(8.5699e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000994014980014994,0.9743287543394147
3.3008780479431152,0.015793204307556152,8.801664352416992,32.85084915161133,"tensor(1.0401e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000994014980014994,0.973841589962245
3.3343262672424316,0.015687689185142517,6.395328521728516,33.18638610839844,"tensor(8.8246e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000994014980014994,0.973354669167264
3.0747718811035156,0.016149066388607025,9.550868034362793,30.586227416992188,"tensor(7.2273e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000994014980014994,0.9728679918326804
